GenderSelect,Country,FormalEducation,Tenure,JobFunctionSelect,AlgorithmUnderstandingLevel,WorkDataVisualizations,CompensationUSD,LearningStyle
Male,Other,Bachelor's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to tune the parameters properly,76-99% of projects,50000,MixLearner
Male,United States,Bachelor's degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,165000,SelfLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,85000,MixLearner
Male,United States,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,51-75% of projects,226000,MixLearner
Male,United States,Master's degree,More than 10 years,Other,Enough to refine and innovate on the algorithm,Less than 10% of projects,200000,MixLearner
Female,United States,Bachelor's degree,6 to 10 years,Other,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,80000,MixLearner
Male,United States,Master's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,51-75% of projects,95000,SelfLearner
Male,United States,Doctoral degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,10-25% of projects,117000,SelfLearner
Male,United States,Doctoral degree,6 to 10 years,Other,Enough to explain the algorithm to someone non-technical,51-75% of projects,47000,MixLearner
Male,United States,I did not complete any formal education past high school,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,51-75% of projects,160000,MixLearner
Male,United States,Doctoral degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,100% of projects,255000,SelfLearner
Male,Mexico,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,100% of projects,92000,MixLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,90000,MixLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,80000,ClassroomLearner
Male,United States,Master's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to tune the parameters properly,51-75% of projects,190000,MixLearner
Male,United States,Bachelor's degree,3 to 5 years,Other,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,220000,ClassroomLearner
Male,United States,Master's degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,180000,ClassroomLearner
Male,United States,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,105000,MixLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,26-50% of projects,79000,MixLearner
Male,Other,Master's degree,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,76-99% of projects,175000,MixLearner
A different identity,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,76-99% of projects,20000,SelfLearner
Male,United States,Master's degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,Less than 10% of projects,140000,MixLearner
Male,United States,Master's degree,6 to 10 years,Research that advances the state of the art of machine learning,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,38000,ClassroomLearner
Male,United States,Bachelor's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,85000,MixLearner
Male,United States,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,150000,ClassroomLearner
Female,United States,Master's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,65000,JobLearner
Male,Other,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,120000,MixLearner
Male,United States,Master's degree,3 to 5 years,Other,Enough to explain the algorithm to someone non-technical,10-25% of projects,65000,MixLearner
Male,United States,Doctoral degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,Less than 10% of projects,134000,ClassroomLearner
Male,United States,Bachelor's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,320000,MixLearner
Male,United States,Some college/university study without earning a bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,110000,SelfLearner
Male,Hong Kong,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,70000,SelfLearner
Male,United States,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to code it from scratch and it will run blazingly fast and be super efficient,10-25% of projects,120000,ClassroomLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,10-25% of projects,103000,ClassroomLearner
Female,United States,Doctoral degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to code it from scratch and it will run blazingly fast and be super efficient,26-50% of projects,40000,MixLearner
Male,United States,Bachelor's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,71500,SelfLearner
Male,United States,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,90000,ClassroomLearner
Male,United States,Bachelor's degree,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,10-25% of projects,115000,MixLearner
Male,United States,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to code it from scratch and it will run blazingly fast and be super efficient,100% of projects,20000,ClassroomLearner
Male,United States,Master's degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,51-75% of projects,210000,ClassroomLearner
Male,United States,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,107000,SelfLearner
Male,United States,Doctoral degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,26-50% of projects,125000,SelfLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,76-99% of projects,67000,MixLearner
Male,United States,Master's degree,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,76-99% of projects,220000,MixLearner
Male,Switzerland,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,85000,SelfLearner
Male,Argentina,Some college/university study without earning a bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,45000,SelfLearner
Male,Taiwan,Doctoral degree,More than 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to tune the parameters properly,100% of projects,27000,SelfLearner
Male,United States,Doctoral degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,130000,MixLearner
Female,United States,Doctoral degree,More than 10 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,10-25% of projects,305000,ClassroomLearner
Male,United States,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to code it from scratch and it will run blazingly fast and be super efficient,76-99% of projects,95000,SelfLearner
Male,United States,Doctoral degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to code it from scratch and it will run blazingly fast and be super efficient,100% of projects,120000,MixLearner
Male,Philippines,Doctoral degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to tune the parameters properly,51-75% of projects,20000,MixLearner
Male,United States,Doctoral degree,6 to 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",26-50% of projects,150000,JobLearner
Male,United States,Master's degree,6 to 10 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,76-99% of projects,80000,ClassroomLearner
Male,Colombia,Professional degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to refine and innovate on the algorithm,100% of projects,150000,ClassroomLearner
Male,United States,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,26-50% of projects,100000,MixLearner
Male,United States,Bachelor's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,115500,MixLearner
Female,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,10-25% of projects,135000,MixLearner
Male,United States,Doctoral degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to refine and innovate on the algorithm,26-50% of projects,172000,SelfLearner
Male,United States,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,140000,MixLearner
Male,United States,Bachelor's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to run the code / standard library,100% of projects,110000,MixLearner
Female,United States,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,76-99% of projects,49750,MixLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,90000,MixLearner
Male,United States,Master's degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,10-25% of projects,230000,SelfLearner
Female,United States,Doctoral degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,140000,SelfLearner
Female,United States,Doctoral degree,More than 10 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,100% of projects,120000,ClassroomLearner
Male,Pakistan,Bachelor's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to run the code / standard library,Less than 10% of projects,30000,MixLearner
Male,South Korea,Bachelor's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to tune the parameters properly,10-25% of projects,60000,MixLearner
Male,United States,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",76-99% of projects,58000,MixLearner
Male,United States,Doctoral degree,6 to 10 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to refine and innovate on the algorithm,Less than 10% of projects,160000,MixLearner
Male,United States,I did not complete any formal education past high school,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,51-75% of projects,65000,MixLearner
Female,United States,Bachelor's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,Less than 10% of projects,77250,ClassroomLearner
Male,United States,Master's degree,6 to 10 years,Other,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,210000,SelfLearner
Female,United States,Doctoral degree,3 to 5 years,Other,Enough to tune the parameters properly,100% of projects,88500,SelfLearner
Male,United States,Some college/university study without earning a bachelor's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,76-99% of projects,170000,MixLearner
Male,United States,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,215000,MixLearner
Male,United States,Master's degree,Less than a year,Research that advances the state of the art of machine learning,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,75000,SelfLearner
Male,Brazil,Master's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Enough to code it again from scratch, albeit it may run slowly",100% of projects,15000,MixLearner
Male,United States,Master's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,95000,SelfLearner
Male,United States,Master's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,51-75% of projects,95000,ClassroomLearner
Male,United States,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to refine and innovate on the algorithm,26-50% of projects,105000,MixLearner
Female,United States,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,76-99% of projects,65000,MixLearner
Male,United States,Doctoral degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,Enough to explain the algorithm to someone non-technical,100% of projects,150000,JobLearner
Female,United States,Bachelor's degree,1 to 2 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to explain the algorithm to someone non-technical,10-25% of projects,60000,MixLearner
Female,United States,Bachelor's degree,3 to 5 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,150000,MixLearner
Male,United States,Master's degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,100% of projects,350000,SelfLearner
Male,United States,Master's degree,1 to 2 years,Other,Enough to tune the parameters properly,51-75% of projects,30000,ClassroomLearner
Male,United States,Master's degree,6 to 10 years,Analyze and understand data to influence product or business decisions,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,100000,ClassroomLearner
Male,United States,Master's degree,More than 10 years,Analyze and understand data to influence product or business decisions,Enough to explain the algorithm to someone non-technical,76-99% of projects,140000,MixLearner
Male,Taiwan,Master's degree,3 to 5 years,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data",Enough to tune the parameters properly,100% of projects,17000,SelfLearner
Male,United States,Master's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",51-75% of projects,50000,MixLearner
Male,United States,Master's degree,3 to 5 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,51-75% of projects,117000,ClassroomLearner
Male,United States,Bachelor's degree,1 to 2 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",26-50% of projects,120000,ClassroomLearner
Male,United States,Master's degree,3 to 5 years,Other,Enough to explain the algorithm to someone non-technical,Less than 10% of projects,132000,SelfLearner
Male,Taiwan,Master's degree,1 to 2 years,Build and/or run a machine learning service that operationally improves your product or workflows,Enough to explain the algorithm to someone non-technical,26-50% of projects,30000,ClassroomLearner
Male,United States,Doctoral degree,More than 10 years,Build and/or run a machine learning service that operationally improves your product or workflows,"Enough to code it again from scratch, albeit it may run slowly",100% of projects,350000,MixLearner
Male,Israel,Master's degree,6 to 10 years,Research that advances the state of the art of machine learning,Enough to refine and innovate on the algorithm,Less than 10% of projects,50000,MixLearner
Male,United States,Doctoral degree,6 to 10 years,Analyze and understand data to influence product or business decisions,Enough to refine and innovate on the algorithm,10-25% of projects,107000,SelfLearner
Male,United States,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",10-25% of projects,120000,JobLearner
Female,Sweden,Professional degree,1 to 2 years,Analyze and understand data to influence product or business decisions,Enough to run the code / standard library,51-75% of projects,40000,ClassroomLearner
Male,United States,Bachelor's degree,3 to 5 years,Build prototypes to explore applying machine learning to new areas,"Enough to code it again from scratch, albeit it may run slowly",Less than 10% of projects,190000,MixLearner
